why_peer_learning,count
"If peer learning is referring to UA sessions, then yes. It was helpful to have extra practice problems, especially before midterms, and also gain insight from students who took the class before.",1
Dr. Lavelle has many UA sessions that I found helpful and didn't think that Chemistry peer learning would be more benefical.,1
I was too busy with workloads relative to other classes.,1
"It was not offered this course, if it was it did not show up for me",1
Don't know about it,1
I didn't know there was such peer learning,1
It was not offered,1
I was unaware of the peer learning sessions.,1
I did not know about this peer learning.,1
No time and didn’t know about them,1
I did not find significantly challenging questions that I could not resolve by studying on my own.,1
I didn't feel like I need to.,1
I was not available.,1
I didn't find my attendance at peer learning to be necessary for success in this course.,1
I prefer going to TA office hours or the professor's office hours and I prefer to study by myself since I tend to get distracted in groups.,1
I was not aware of what times it was open for.,1
"I didn't find it necessary, but in the future I will definitely attend",1
Did not feel I needed it at the time.,1
No time this quarter,1
I did not have the time to go.,1
Found it hard to fit into my schedule.,1
Didnt have time,1
I did not know about it and I also prefer to study by myself.,1
Did not qualify,1
I am not interested in peer learning.,1
I felt as though the textbook and the practice problems were sufficient for me to understanding everything and get enough practice for the exam.,1
I didn't know.,1
I was not informed that they existed.,1
I didn't know it was a thing until now.,1
I did not know it was occuring,1
I did not know this was an option. Is this like tutoring or more like office hours?,1
I was not aware we had that option.,1
I wanted to learn more prior to the exam.,1
Was not needed for this class,1
I needed extra help studying for midterm 2.,1
I prefer to go to office hours because it helps me learn more about my prof's style,1
I actually did not know this resource existed until this survey.,1
I did not find the need,1
I wasn't aware that was available,1
Did not need it.,1
I never really heard/ knew about it.,1
I was not aware that it existed.,1
Conflict with club meeting,1
I didn't know about the Chemistry peer learning.,1
didn't know it existed,1
I did not know that this resource existed.,1
"I am able to study on my own for this course and when I need help, I go to office hours",1
I wasn't aware of it and I had too many other classes and workload to also attend office hours and/or optional study sessions.,1
I did not know that was an option.,1
"I did not know it was a resource until the previous survey, and then I forgot about it. I also didn't know where to find information about this resource aside from visiting the room in person.",1
"I don’t remember receiving info about it, I probably did but forgot.",1
Didn’t work with my schedule.,1
Not interested,1
I was unaware of the peer learning offered,1
Not worth my time,1
I did not know there was a Chemistry Peer learning session.,1
I was busy with my other activities and classes.,1
n/a this question was not in this survey,1
"I did not know that this resource was available to assist with CHEM30BL, so I focused my efforts towards studying on mine and attending instructor + TA office hours every once in a while.",1
"There was limited capacity for the peer learning sections, so I was restricted from signing up.",1
I feel more comfortable studying by myself or with my friend group. I don't work as well in large groups or with others I do not know well.,1
I attended some online office hours,1
I don't think I ever heard of this opportunity.,1
I was not aware of the Chemistry peer learning program,1
I was not aware there was a peer learning room.,1
I don't think it was necessary.,1
I had a hectic schedule that did not allow for me to attend,1
I went to TA and LA office hours instead.,1
i did not know about them,1
I was not aware of Chemistry Peer Learning.,1
I did not know what the Chemistry peer learning was; I did not know that was a choice for academic assistance.,1
I couldnt make room to attend,1
Time overlap with other classes/clubs/commitments,1
I attend all step ups that Professor Lavelle provides,1
Had no idea that was a thing,1
I found the UA sessions to be extremely helpful.,1
I'm a commuter student and it's really hard to plan that out because of how my school schedule is.,1
"I did not know there was chemistry peer learning, no one ever told me.",1
wasnt aware of it,1
"I had a few friends and we study this course together, and also my TA and LA are helpful enough so.",1
I dont know about it,1
I did not know there was one.,1
I don't recall knowing about this peer learning.,1
I had conflicting sessions for other classes.,1
I would never have been able to come to the sessions prepared with questions that were worth asking and would actually help me learn because I had questions about everything as I did not complete any chemistry courses before this class. It would be more effective to complete all homework first to gain a general understanding then attend a session.,1
It was not on my radar.,1
I was unaware of a peer learning room where tutoring takes place given I am a transfer student.,1
Didn't feel the need.,1
I didn’t know we had Chemistry peer learning,1
I didn't think it was a resource I needed because I had other peers to work with on my own time and the professor and TA were able to answer most of my questions in lecture and section,1
I'm not in AAP so I can't do peer tutoring sessions,1
I preferred to study and review on my own.,1
I didn't know what that is,1
"I believe I was well supported by the office hours and lectures in this course, and felt like I had already grasped the material accurately!",1
I was unaware of this Chemistry peer learning opportunity.,1
I was doing peer learning through PLF in Campbell Hall.,1
I didn't know we had them.,1
The times conflicted with either class or my other tutoring sessions.,1
I did not know that existed,1
I feel like I can teach it to myself for the most part.,1
The times for the peer learning sessions conflicted with times for other tutoring sessions I had.,1
I did not know about it or think I needed it.,1
Didnt know,1
I did not know this was offered.,1
"Omg I did not know ! I would have benefitted SO much from this. I don't know if I missed the announcement or email, please have a resource on the canvas homepage because sometimes I felt on my own in this course.",1
I was not aware there were these peer learning rooms!,1
don’t know what that is,1
I did not know of it so I did not attend,1
I was not aware it existed.,1
"I felt that the help I had received in office hours and the study group I worked with were sufficient, but I was open to attending peer learning sessions if needed.",1
I wasn’t able to make any of the sessions.,1
I did not know it even existed.,1
Did not align with my schedule.,1
"I struggled to find more information about the program and access it. Although professor DeWeese mentioned it in a class, when I tried to register for the peer advancement program, my.ucla was either down or not letting me. However, if given the opportunity and better guidance to access this resource, I would be greatly interested in using it.",1
I did not even know that existed,1
I had no idea they existed,1
I was struggling with the material more than YouTube could provide help with.,1
I did not know it existed + didn't feel like I needed it,1
Conflict,1
I was unaware of the chemistry peer learning opportunity.,1
No. I did not need to,1
I was not aware of of this opportunity.,1
I never thought I needed it to succeed in the class.,1
It did not fit into my schedule,1
I did not attend because I either had time conflicts or felt that the location was inconvenient. I also did not feel like I really needed the help.,1
"Not, because I had my own study group! :)",1
I was not aware that there was chemistry peer learning there.,1
I did not know that was a thing,1
I was not aware of this peer learning program.,1
I had my classmates to help me,1
I didn’t know much about the program.,1
i didn’t know,1
"I went to workshops and review sessions, I'm not too sure what MS3974 is referring to.",1
Didn't feel like I needed it.,1
Not fitting to my schedule,1
"I never found time to go, but I know I can do better next quarter.",1
I felt the UA sessions were enough.,1
I think I might have been unaware of the peer learning or already was able to get help through step-up sessions and workshops.,1
Just never felt the need. I study fine on my own and with my friends.,1
"I attended UA sessions in Young Hall,",1
I like to stuyd independently and utilize Chemistry Community for help.,1
I did not feel the need to attend as I was able to get help from other sources instead.,1
I did not attend the peer learning because I prefer to use my own study methods on my own.,1
"I was very busy, kept forgetting, and was only confused on certain topics which I was able to clarify using the textbook or other resources.",1
"I had forgotten to take advantage of this, I feel that advertising this more to students would be beneficial. I mostly visited the step-up and workshop sessions for our course.",1
I had a reasonabley busy schedule this quarter and I generally prefer to learn/study on my own and ask questions as needed. I do beleve that this opportunity could have been helpful for some topics in this course.,1
I didn't know it was happening.,1
I did not because I did not feel it was necessary,1
It did not fit my schedule and I was afraid of attending alone.,1
I didnt know it existed,1
Dirnt realise it existed,1
"I do not think i payed attention too much on the exisitance of this class comparing to other abundant resources, UA, TA, Workshops etc.",1
I did not because I had a very packed schedule.,1
"I was able to get enough help from my TA and Chemistry Community, which is an online discussion forum designed by Dr. Lavelle.",1
Textbook problems helped me a lot on practicing skills on calculations and understanding concepts. The professor's chemistry community is also very useful when I want to seek help with explanations to specific difficulties.,1
I was unaware that this was something offered.,1
I got all the help I needed through other resources.,1
I did not know peer learning existed.,1
I was too busy.,1
I didn’t feel the need to get help.,1
I did not have the time,1
"I did not realize that those peer learning session existed, most likely because I was not paying attention when it was announced.",1
I have no clue what that is,1
"I was not aware of the Chemistry peer learning, I would have attended if I was told about this opportunity.",1
"I wasn’t aware of the session; additionally, I have my own strategies for studying that I like to utilize on my own.",1
Had other commitments.,1
Did fine without it,1
I did not know.,1
Never heard about it,1
"Sometimes, I did to better understand the topic",1
"Although the amount of help was fantastic if I ever needed it, I found myself being able to succeed without needing to access that particular resource.",1
I attended the UA and TA office hours instead.,1
I was too nervous to,1
I was not aware of the Chemistry peer learning sessions,1
I was intimidated to go by myself and didnt know where to fid the information,1
I didn't attend because I didn't feel that it was too necessary for me.,1
i don't know,1
I went to other sessions and workshops which worked with my schedule a bit better.,1
I did not think it would be beneficial to me,1
i dont qualify,1
I did not think I needed to attened.,1
I was busy,1
I commute so it’s hard to fit things other than my set classes into my schedule.,1
I was not aware of this event.,1
I'm unfamiliar with the peer learning room in MS3974 and did not have any questions for them.,1
I feel I learn better on my own.,1
Never took the extra time to go,1
I didn't know that existed,1
I was not aware of this,1
DIDNT know they were a thing,1
I preferred to study in smaller groups with people I knew or on my own.  Zoom was also easier for me.,1
I am confident enough about my capability in succeeding in the course.,1
Knew it would be helpful but never got around to actually going,1
I formed study groups with students instead,1
Did not know that there was peer learning sessions held there.,1
"The online format of discussion kind of set the tone for me this quarter in such a way that I did not feel motivated to attend in-person peer learning sessions. Also, I have been performing very well throughout the quarter, so I did not feel there was much I needed to clarify outside of class.",1
Couldn't fit in schedule,1
"Did not know about it, forgot.",1
"It's a helpful resource, but unfortunately, I didn't have time for it.",1
Did not have the time.,1
I never checked the time for it.,1
I had other commitments,1
I used other resources,1
I have peer learning with AAP,1
I was not aware of it but I did download the worksheets to complete .,1
